Arcana,CardGroup,CardId,Card,DirectReading,ReverseReading,Meaning
Major,,1,The Fool,"New beginnings, new adventures, new opportunities, unlimited possibilities, pleasure, passion, thoughtlessness, rashness","A bad decision, indecision, apathy, hesitation, a faulty choice",
Major,,2,The Magician,"Originality, creativity, skill, will-power, self confidence, dexterity, sleight of hand","Weakness in will, insecurity, delay, no imagination",
Major,,3,The High Priestess,"Wisdom, knowledge, learning, intuition, purity, virtue, a lack of patience, a teacher","Ignorance, lack of understanding, selfishness, shallowness",
Major,,4,The Empress,"Action, development, accomplishment, mother/sister/wife, evolution","Vacillation, inaction, lack on concentration, indecision, anxiety, infidelity",
Major,,5,The Emperor,"Accomplishment, confidence, wealth, stability, leadership, father/brother/husband, achievement, a capable person","Immaturity, indecision, feebleness, petty emotions, lack of strength",
Major,,6,The Hierophant,"A need to conform, social approval, bonded to the conventions of society","Unconventionality, unorthodoxy, an inventor or Upright",
Major,,7,The Lovers,"Love, harmony, trust, honor, the beginning of a romance, optimism, a meaningful relationship/affair","Unreliability, separation, frustration in love, fickleness, untrustworthy",
Major,,8,The Chariot,"Perseverance, a journey, a rushed decision, adversity, turmoil, vengeance","Unsuccessful, defeat, failure, last minute loss, vanquishment",
Major,,9,Strength,"Strength, courage, conviction, energy, determination, action, heroism, virility","Weakness, pettiness, sickness, tyranny, lack of faith, abuse of power",
Major,,10,The Hermit,"Counsel, inner strength, prudence, caution, vigilance, patience, withdrawal, annulment, a loner","Imprudence, hastiness, rashness, foolish acts, immaturity",
Major,,11,The Wheel of Fortune,"Destiny, fortune, a special gain, an unusual loss, end of a problem, unexpected events, advancement, progress","Failure, bad luck, interruption, outside influences, bad fate, unexpected events",
Major,,12,Justice,"Harmony, balance, equality, righteousness, virtue, honor, advice, a considerate person","Bias, false accusations, intolerance, unfairness, abuse",
Major,,13,The Hanged Man,"Suspension, change, reversal, boredom, abandonment, sacrifice, readjustment, improvement, rebirth","Unwillingness to make an effort, false prophecy, useless sacrifice",
Major,,14,Death,"Transformation, making way for the new, unexpected change, loss, failure, illness or death, bad luck","Stagnation, immobility, slow changes, a narrow escape, cheating death",
Major,,15,Temperance,"Moderation, temperance, patience, harmony, fusion, good influence, confidence","Discord, conflict, disunion, hostility, frustration, impatience",
